,_id,prob,area_name
159,53,0.3855349671249253,Petoskey-Otsego
160,55,0.284375,Islandview
161,56,0.0661764705882353,Detroit Golf
162,57,0.05402650356778797,Boston Edison
163,58,0.2523364485981308,Arden Park
164,59,0.47139689578713967,Campau/Banglatown
165,6,0.10234278668310727,Cornerstone Village
166,60,0.19525801952580196,Conant Gardens
167,61,0.24489795918367346,Krainz Woods
168,62,0.15822784810126583,LaSalle College Park
169,63,0.06476683937823834,Elmwood Park
170,64,0.35256262928062515,McDougall-Hunt
171,65,0.29194883370955604,North Corktown
172,66,0.07621951219512195,Cultural Center
173,67,0.1,Carbon Works
174,68,0.36097560975609755,Michigan-Martin
175,69,0.47729789590254706,Pingree Park
176,7,0.21251109139307897,Regent Park
177,70,0.16617033948779036,Martin Park
178,71,0.27104722792607805,Belmont
179,72,0.11655629139072848,Blackstone Park
180,73,0.28165584415584416,East Village
181,74,0.1977715877437326,Hubbard Farms
182,75,0.1948176583493282,Russell Woods
183,76,0.0,Gold Coast
184,77,0.005067567567567568,Mohican Regent
185,78,0.08461538461538462,Jeffries
186,79,0.13186813186813187,Medical Center
187,8,0.030569948186528497,North Rosedale Park
188,80,0.45179063360881544,Pulaski
189,81,0.3130570758405004,Central Southwest
190,82,0.13350125944584382,Hubbard Richard
191,83,0.46875,NW Goldberg
192,84,0.6759098786828422,Henry Ford
193,85,0.6356589147286822,West Virginia Park
194,86,0.4114713216957606,North LaSalle
195,87,0.0,Forest Park
196,88,0.12256267409470752,Lafayette Park
197,89,0.4657142857142857,Eastern Market
198,9,0.25961538461538464,Riverdale
199,90,1.0,Brewster Homes
200,91,0.046511627906976744,Douglass
201,92,0.051319648093841645,Brush Park
202,93,0.43682664054848186,Gratiot Town/Ketterring
203,94,0.1169369701437523,Airport Sub
204,95,0.40596491228070175,Poletown East
205,96,0.3868232224396608,Grixdale Farms
206,97,0.34545454545454546,Palmer Park
207,98,0.04054054054054054,New Center Commons
208,99,0.31559854897218864,Piety Hill
