id,centerX,centerY
0,-83.0398510927484,42.329096694797556
1,-83.04297717036091,42.328116424356196
2,-83.04469475195322,42.33330876629113
3,-83.05270553922529,42.3452694661675
4,-83.05492660967852,42.34507938876635
5,-83.05376084668097,42.34719136221983
6,-83.05344106734128,42.34732941016089
7,-83.05464100307525,42.34947690810739
8,-83.06855632464263,42.36690765119718
9,-83.07104915042375,42.37059399572429
10,-83.07146558546896,42.37043908452133
11,-83.07165926340525,42.37036707946918
12,-83.07206658705822,42.374051705543366
13,-83.075083222226,42.3756914720402
14,-83.07460384673314,42.37869589546917
15,-83.07440519669125,42.37876966987723
16,-83.07355243845625,42.38054234641247
17,-83.07366148145809,42.380501520298026
18,-83.07702541137579,42.384766716355465
19,-83.07852330497975,42.38462147713358
20,-83.0823482348698,42.3916413278527
21,-83.0818381807527,42.392856321696016
22,-83.08619326821794,42.39279518440336
23,-83.08578709256936,42.3933879529303
24,-83.04805680638722,42.34272201472863
25,-83.04486433564367,42.336592773161044
26,-83.04985570080521,42.34447012233795
27,-83.05360049620651,42.35017081256228
28,-83.04680975268806,42.33633596974367
29,-83.04443517430482,42.33026587537499
30,-83.05106682859945,42.338573751598666
31,-83.05487743147337,42.34379166533546
32,-83.05716831283836,42.34842587087977
33,-83.05776846479075,42.349443390979786
34,-83.08734332649168,42.391841106831656
35,-83.10306431964703,42.4194677493919
36,-83.10125239351908,42.42037647350164
37,-83.1027926888841,42.420533373517294
38,-83.10401757506709,42.42062984208381
39,-83.10228637189743,42.42125432356566
40,-83.10499459284286,42.42425842772674
41,-83.10623300902222,42.42474638318149
42,-83.10301258060186,42.42481178468271
43,-83.09654564136527,42.425054166131424
44,-83.09880618275943,42.42531540678812
45,-83.10511912719438,42.42589326455512
46,-83.10526700653253,42.4258900880684
47,-83.10572995699832,42.42587891865584
48,-83.10795022700276,42.425852867281726
49,-83.1039584876821,42.426352873875274
50,-83.10121699924844,42.42710660496137
51,-83.10107840278842,42.42711158145113
52,-83.09880264226223,42.427186427227696
53,-83.10159130796113,42.42783775647408
54,-83.10163562147744,42.4289093102844
55,-83.1049108084258,42.42960086738581
56,-83.10876662316552,42.42949713393095
57,-83.111099600733,42.42946443340224
58,-83.11097984620332,42.42993185502521
59,-83.1108501675839,42.42993337181978
60,-83.1094245384696,42.42994994781324
61,-83.10890570391089,42.42995605369467
62,-83.10733409633777,42.42997297638066
63,-83.10566305361289,42.430041569978414
64,-83.10536681053279,42.430044412360814
65,-83.1030018090358,42.43041063602183
66,-83.10527959447724,42.43039271182572
67,-83.10581680662915,42.43038836954441
68,-83.1076369775753,42.43033490628063
69,-83.10802572694185,42.43033032643707
70,-83.11152548194805,42.43029167669358
71,-83.11217028441666,42.43028193367025
72,-83.1126943754292,42.43027835727943
73,-83.10984864839334,42.430754773055384
74,-83.10971897742746,42.43075583359271
75,-83.10842253897094,42.43076835112196
76,-83.10816342476556,42.43077069129426
77,-83.10349015605426,42.43119645704437
78,-83.1103871623257,42.43111698533883
79,-83.11271662267615,42.43109531986239
80,-83.11311904879983,42.43154305129136
81,-83.1098754275691,42.43157481188003
82,-83.10935722647218,42.431580680620016
