,lat,lon,id,address
0,42.329096694797556,-83.0398510927484,01000001.,400 E JEFFERSON
1,42.328116424356196,-83.04297717036091,01000042-86,2 E JEFFERSON
2,42.33330876629113,-83.04469475195322,01000162-5,126 MONROE
3,42.3452694661675,-83.05270553922529,01000719-0,245 EDMUND PL
4,42.34507938876635,-83.05492660967852,01000750.,64 WATSON
5,42.34719136221983,-83.05376084668097,01000811.,259 ERSKINE
6,42.34732941016089,-83.05344106734128,01000813.,281 ERSKINE
7,42.34947690810739,-83.05464100307525,01000902-983,301 MACK
8,42.36690765119718,-83.06855632464263,01001776-7,110 PIQUETTE
9,42.37059399572429,-83.07104915042375,01001936.,3049 E GRAND BLVD
10,42.37043908452133,-83.07146558546896,01001938.,3065 E GRAND BLVD
11,42.37036707946918,-83.07165926340525,01001939.,3067 E GRAND BLVD
12,42.374051705543366,-83.07206658705822,01002181-3,246 SMITH
13,42.3756914720402,-83.075083222226,01002323.,81 MARSTON
14,42.37869589546917,-83.07460384673314,01002559.,271 E EUCLID
15,42.37876966987723,-83.07440519669125,01002561.,283 E EUCLID
16,42.38054234641247,-83.07355243845625,01002636.,438 HAGUE
17,42.380501520298026,-83.07366148145809,01002637.,430 HAGUE
18,42.384766716355465,-83.07702541137579,01002959.,293 OWEN
19,42.38462147713358,-83.07852330497975,01002987.,222 LEICESTER CT
20,42.3916413278527,-83.0823482348698,01003353.,264 HARMON
21,42.392856321696016,-83.0818381807527,01003430.,334 ROSEDALE CT
22,42.39279518440336,-83.08619326821794,01003560.,97 ENGLEWOOD
23,42.3933879529303,-83.08578709256936,01003620.,136 WOODLAND
24,42.34272201472863,-83.04805680638722,01003770-1,2457 BEAUBIEN
25,42.336592773161044,-83.04486433564367,01003781.,1436 BRUSH
26,42.34447012233795,-83.04985570080521,01003814-7,2718 BRUSH
27,42.35017081256228,-83.05360049620651,01003837-49,3737 BEAUBIEN
28,42.33633596974367,-83.04680975268806,01004041-2,267 E GRAND RIVER
29,42.33026587537499,-83.04443517430482,01004087-96,500 WOODWARD AVENUE
30,42.338573751598666,-83.05106682859945,01004142-54,2200 WOODWARD AVENUE
31,42.34379166533546,-83.05487743147337,01004171.,2860 WOODWARD AVENUE
32,42.34842587087977,-83.05716831283836,01004189.001C,3670 WOODWARD AVENUE
33,42.349443390979786,-83.05776846479075,01004190-8,3750 WOODWARD AVENUE
34,42.391841106831656,-83.08734332649168,01004377.,11542 WOODWARD AVENUE
35,42.4194677493919,-83.10306431964703,01004662.,67 W DAKOTA
36,42.42037647350164,-83.10125239351908,01004702.,27 E DAKOTA
37,42.420533373517294,-83.1027926888841,01004767.,55 W PARKHURST
38,42.42062984208381,-83.10401757506709,01004799.,114 W PARKHURST
39,42.42125432356566,-83.10228637189743,01004812.,10 W PARKHURST
40,42.42425842772674,-83.10499459284286,01005363.,151 W NEVADA
41,42.42474638318149,-83.10623300902222,01005403.,218 W NEVADA
42,42.42481178468271,-83.10301258060186,01005431.,44 W NEVADA
43,42.425054166131424,-83.09654564136527,01005479-80,651 E NEVADA
44,42.42531540678812,-83.09880618275943,01005536.,170 E SAVANNAH
45,42.42589326455512,-83.10511912719438,01005769.,155 W MARGARET
46,42.4258900880684,-83.10526700653253,01005770.,163 W MARGARET
47,42.42587891865584,-83.10572995699832,01005773.,189 W MARGARET
48,42.425852867281726,-83.10795022700276,01005788.,445 W MARGARET
49,42.426352873875274,-83.1039584876821,01005849.,94 W MARGARET
50,42.42710660496137,-83.10121699924844,01006033.,45 E GREENDALE
51,42.42711158145113,-83.10107840278842,01006034-5,49 E GREENDALE
52,42.427186427227696,-83.09880264226223,01006054-5,175 E GREENDALE
53,42.42783775647408,-83.10159130796113,01006162.,27 E GRIXDALE
54,42.4289093102844,-83.10163562147744,01006343.,28 E GOLDEN GATE
55,42.42960086738581,-83.1049108084258,01006488.,137 W ROBINWOOD
56,42.42949713393095,-83.10876662316552,01006514.,483 W ROBINWOOD
57,42.42946443340224,-83.111099600733,01006532.,609 W ROBINWOOD
58,42.42993185502521,-83.11097984620332,01006555.,604 W ROBINWOOD
59,42.42993337181978,-83.1108501675839,01006556.,598 W ROBINWOOD
60,42.42994994781324,-83.1094245384696,01006567.,524 W ROBINWOOD
61,42.42995605369467,-83.10890570391089,01006571.,490 W ROBINWOOD
62,42.42997297638066,-83.10733409633777,01006582.,404 W ROBINWOOD
63,42.430041569978414,-83.10566305361289,01006593.,176 W ROBINWOOD
64,42.430044412360814,-83.10536681053279,01006595.,160 W ROBINWOOD
65,42.43041063602183,-83.1030018090358,01006621.,31 W HOLLYWOOD
66,42.43039271182572,-83.10527959447724,01006638.,155 W HOLLYWOOD
67,42.43038836954441,-83.10581680662915,01006642.,185 W HOLLYWOOD
68,42.43033490628063,-83.1076369775753,01006653.,419 W HOLLYWOOD
69,42.43033032643707,-83.10802572694185,01006656.,441 W HOLLYWOOD
70,42.43029167669358,-83.11152548194805,01006683.,629 W HOLLYWOOD
71,42.43028193367025,-83.11217028441666,01006688.,663 W HOLLYWOOD
72,42.43027835727943,-83.1126943754292,01006692.,691 W HOLLYWOOD
73,42.430754773055384,-83.10984864839334,01006720.,538 W HOLLYWOOD
74,42.43075583359271,-83.10971897742746,01006721.,530 W HOLLYWOOD
75,42.43076835112196,-83.10842253897094,01006731.,460 W HOLLYWOOD
76,42.43077069129426,-83.10816342476556,01006733.,446 W HOLLYWOOD
77,42.43119645704437,-83.10349015605426,01006769.,57 W BRENTWOOD
78,42.43111698533883,-83.1103871623257,01006815.,567 W BRENTWOOD
